7 days, 4:38:55.550000;33;8732769;13772884;13720543;13792180;2074;2545;
7 days, 4:39:19.350000;33;8705899;13772689;13720537;13792158;2075;2542;
7 days, 4:39:38.350000;33;8698878;13772613;13720318;13791972;2076;2540;
7 days, 4:39:57.400000;33;8689843;13772422;13720225;13791796;2077;2538;
7 days, 4:40:16.450000;33;8690317;13772311;13720157;13791739;2077;2536;
7 days, 4:40:35.450000;33;8685166;13772201;13719933;13791484;2078;2534;
7 days, 4:40:54.550000;33;8678506;13772088;13719943;13791373;2079;2531;
7 days, 4:41:13.600000;33;8672392;13771943;13719733;13791154;2079;2529;
7 days, 4:41:32.650000;33;8665700;13771910;13719567;13791168;2079;2527;
7 days, 4:41:51.750000;33;8678788;13771731;13719508;13791113;2080;2525;
7 days, 4:42:10.800000;33;8681525;13771644;13719389;13790849;2080;2523;
7 days, 4:42:29.850000;33;8685353;13771560;13719398;13790710;2081;2521;
7 days, 4:42:49;33;8681491;13771332;13719236;13790723;2081;2519;
7 days, 4:43:08.100000;33;8680021;13771270;13719164;13790587;2081;2517;
7 days, 4:43:38.100000;33;8676255;13771120;13719006;13790292;2082;2514;
7 days, 4:43:57.200000;33;8674691;13771051;13718947;13790304;2082;2512;
7 days, 4:44:16.300000;33;8673154;13770845;13718802;13790115;2083;2510;
7 days, 4:44:35.400000;33;8671813;13770794;13718683;13790004;2083;2508;
7 days, 4:44:54.450000;33;8669308;13770734;13718670;13789956;2083;2506;
7 days, 4:45:13.550000;33;8667128;13770648;13718556;13789819;2084;2504;
7 days, 4:45:32.600000;33;8664240;13770534;13718467;13789706;2084;2502;
7 days, 4:45:51.700000;33;8660938;13770424;13718431;13789490;2084;2499;
7 days, 4:46:10.800000;33;8657362;13770205;13718237;13789480;2085;2497;
7 days, 4:46:29.850000;33;8654065;13770155;13718198;13789262;2085;2495;
7 days, 4:46:48.950000;33;8650062;13769910;13718073;13789168;2085;2493;
7 days, 4:47:08.050000;33;8643986;13769843;13717816;13788964;2086;2491;
7 days, 4:47:27.150000;33;8632213;13769755;13717721;13788933;2086;2489;
7 days, 4:47:46.250000;33;8625654;13769664;13717695;13788730;2087;2487;
7 days, 4:48:05.500000;33;8613794;13769596;13717498;13788636;2087;2485;
7 days, 4:48:24.600000;33;8600303;13769379;13717463;13788529;2087;2483;
7 days, 4:48:43.750000;33;8571166;13769377;13717250;13788330;2088;2481;
7 days, 4:49:02.850000;33;8586480;13769251;13717323;13788396;2088;2480;
7 days, 4:49:21.950000;33;8609932;13769182;13717198;13788253;2088;2478;
7 days, 4:49:41.050000;33;8617258;13768979;13717087;13788163;2089;2477;
7 days, 4:50:00.250000;33;8616055;13768963;13717010;13787977;2089;2476;
7 days, 4:50:29;33;8611357;13768967;13716934;13787851;2090;2474;
7 days, 4:50:48.150000;33;8610305;13768812;13716834;13787841;2090;2473;
7 days, 4:51:07.300000;33;8608179;13768665;13716796;13787809;2090;2472;
7 days, 4:51:26.450000;33;8606686;13768620;13716776;13787633;2091;2471;
7 days, 4:51:45.600000;33;8605263;13768509;13716645;13787680;2091;2470;
7 days, 4:52:04.750000;33;8605518;13768540;13716509;13787588;2092;2470;
7 days, 4:52:47.900000;33;8601235;13768469;13716403;13787506;2092;2468;
7 days, 4:53:07.050000;33;8600256;13768342;13716473;13787422;2093;2468;
7 days, 4:53:26.250000;33;8597404;13768157;13716345;13787297;2093;2467;
7 days, 4:53:45.400000;33;8596267;13768215;13716262;13787206;2094;2466;
7 days, 4:54:05.900000;33;8591962;13768111;13716302;13787087;2094;2465;
7 days, 4:54:25.050000;33;8589167;13768113;13716126;13787073;2095;2464;
7 days, 4:54:44.250000;33;8586357;13768004;13716104;13786971;2096;2463;
7 days, 4:55:03.450000;33;8583828;13767920;13715962;13786840;2096;2462;
7 days, 4:55:22.650000;33;8580653;13767716;13715796;13786886;2097;2461;
7 days, 4:55:41.850000;33;8577448;13767508;13715721;13786658;2098;2460;
7 days, 4:56:01.100000;33;8573993;13767406;13715666;13786565;2099;2459;
7 days, 4:56:20.500000;33;8570816;13767534;13715435;13786453;2100;2458;
7 days, 4:56:39.700000;33;8566740;13767425;13715295;13786257;2100;2457;
7 days, 4:56:58.950000;33;8563078;13767104;13715328;13786181;2101;2456;
7 days, 4:57:18.200000;33;8559474;13766987;13715146;13786051;2102;2454;
7 days, 4:57:37.400000;33;8555480;13766924;13715200;13785922;2103;2453;
7 days, 4:57:56.600000;33;8551697;13766817;13714830;13785800;2103;2452;
7 days, 4:58:15.800000;33;8547987;13766652;13714817;13785700;2104;2450;
7 days, 4:58:35.050000;33;8544137;13766566;13714660;13785609;2105;2449;
7 days, 4:58:54.400000;33;8540167;13766371;13714573;13785551;2106;2448;
7 days, 4:59:13.600000;33;8536722;13766097;13714366;13785227;2106;2447;
7 days, 4:59:32.750000;33;8532682;13766126;13714362;13785088;2107;2445;
7 days, 5:00:01.750000;33;8527449;13765907;13714063;13785043;2107;2444;
7 days, 5:00:20.950000;33;8524026;13765844;13714065;13784933;2108;2442;
7 days, 5:00:40.150000;33;8521760;13765812;13713863;13784703;2108;2441;
7 days, 5:00:59.350000;33;8519247;13765539;13713899;13784622;2109;2440;
7 days, 5:01:18.500000;33;8516924;13765496;13713804;13784619;2109;2439;
7 days, 5:01:37.650000;33;8514666;13765390;13713667;13784537;2109;2438;
7 days, 5:01:56.800000;33;8512568;13765287;13713665;13784491;2109;2437;
7 days, 5:02:15.950000;33;8511021;13765280;13713412;13784420;2110;2436;
7 days, 5:02:35.100000;33;8509650;13765268;13713510;13784363;2110;2436;
7 days, 5:02:54.250000;33;8508775;13765213;13713425;13784307;2110;2435;
7 days, 5:03:13.400000;33;8506999;13765180;13713478;13784259;2110;2434;
7 days, 5:03:32.650000;33;8505559;13765192;13713383;13784162;2110;2433;
7 days, 5:03:51.800000;33;8504701;13765117;13713372;13784131;2110;2432;
7 days, 5:04:12.200000;33;8506704;13765118;13713317;13784009;2110;2432;
7 days, 5:04:31.350000;33;8502475;13764968;13713200;13784137;2110;2431;
7 days, 5:04:50.550000;33;8500982;13764995;13713209;13783970;2110;2431;
7 days, 5:05:09.800000;33;8500923;13764905;13713169;13783905;2110;2430;
7 days, 5:05:28.950000;33;8501489;13764995;13713135;13784019;2109;2430;
7 days, 5:05:48.100000;33;8500925;13764876;13713161;13784044;2109;2429;
7 days, 5:06:07.250000;33;8501650;13764916;13713085;13783880;2109;2430;
7 days, 5:06:26.400000;33;8501913;13764976;13713141;13784127;2109;2429;
7 days, 5:06:45.550000;33;8502659;13764972;13713152;13784064;2109;2430;
7 days, 5:07:04.750000;33;8503297;13764893;13713126;13784042;2109;2429;
7 days, 5:07:23.900000;33;8504325;13765064;13713176;13784201;2109;2430;
7 days, 5:08:04.200000;33;8505463;13765030;13713269;13784056;2108;2430;
7 days, 5:08:23.400000;33;8506984;13765123;13713279;13784177;2108;2431;
7 days, 5:08:42.550000;33;8508468;13765229;13713316;13784194;2108;2432;
7 days, 5:09:01.750000;33;8510017;13765314;13713484;13784368;2108;2433;
7 days, 5:09:30.650000;33;8513033;13765412;13713617;13784450;2107;2434;
7 days, 5:09:49.800000;33;8515182;13765438;13713627;13784451;2107;2435;
7 days, 5:10:09.050000;33;8517630;13765619;13713649;13784599;2106;2436;
7 days, 5:10:28.250000;33;8520374;13765665;13713680;13784624;2106;2437;
7 days, 5:10:47.400000;33;8523107;13765754;13713828;13784862;2106;2439;
7 days, 5:11:06.550000;33;8525772;13765851;13713908;13784871;2105;2440;
7 days, 5:11:25.750000;33;8528869;13765915;13713967;13785053;2105;2441;
7 days, 5:11:44.900000;33;8532494;13766006;13714016;13785195;2104;2443;
7 days, 5:12:04.250000;33;8535818;13766105;13714237;13785237;2104;2444;
7 days, 5:12:23.450000;33;8538993;13766205;13714351;13785372;2104;2446;
7 days, 5:12:42.650000;33;8542459;13766237;13714355;13785459;2103;2447;
7 days, 5:13:01.850000;33;8546120;13766389;13714532;13785623;2103;2449;
7 days, 5:13:21.050000;33;8549636;13766530;13714667;13785775;2102;2451;
7 days, 5:13:40.200000;33;8553186;13766716;13714821;13785889;2102;2453;
7 days, 5:14:09.100000;33;8558619;13766940;13714982;13786140;2101;2455;
7 days, 5:14:29.600000;33;8562865;13767111;13715176;13786213;2100;2457;
7 days, 5:14:48.950000;33;8566879;13767145;13715356;13786545;2100;2459;
7 days, 5:15:08.150000;33;8570847;13767265;13715429;13786484;2099;2461;
7 days, 5:15:27.400000;33;8574804;13767449;13715599;13786744;2099;2463;
